All,هەمووی
None,"هیچ کام"
"Allowed Scopes","مەودای ڕێگەپێدراو"
"More permissions are needed to delete the ""%1"" item.","بۆ سڕینەوەی بابەتی ""%1"" ڕێگەپێدانی زیاتر پێویستە."
"You need more permissions to apply some of the rule updates.","پێویستت بە مۆڵەتی زیاترە بۆ جێبەجێکردنی هەندێک لە تازەکردنەوەی یاساکان."
"More permissions are needed to view this item.","ڕێگەپێدانی زیاتر پێویستە بۆ بینینی ئەم بابەتە."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","پێویستە ئەم یەکەیە ڕوکاری کۆگای بۆ دەستنیشان بکرێت. دەستنیشانکردنی یەکەکە یەکلا بکەرەوە و جارێکی تر هەوڵبدەرەوە."
"More permissions are needed to save this item.","ڕێگەپێدانی زیاتر پێویستە بۆ پاراستنی ئەم بابەتە."
"More permissions are needed to delete this item.","ڕێگەپێدانی زیاتر پێویستە بۆ سڕینەوەی ئەم بابەتە."
Custom,تایبەت
"Are you sure you want to clear your cart?","دڵنیایت کە دەتەوێت سەبەتەکە بەتاڵ بکەیتەوە؟"
"Please correct the data sent.","تکایە زانیاریە نێردراوەکان ڕاست بکەرەوە."
"Sales Rule","یاساکانی فروشتن"
"Index sales rule","نیشاندەری یاساکانی فروشتن"
"Did you mean","مەبەستت ئەوەیە"
Results,ئەنجامەکان
Yes,بەڵێ
No,نا
Edit,دەستکاریکردن
Enabled,"چالاک کراوە"
Title,سەردێڕ
Environment,ژینگە
Cancel,هەڵوەشاندنەوە
Name,ناو
Type,جۆر
Price,نرخ
